Type,Accuracy,Precision,Recall,AUC,F1-score
relu_relu_0.5,0.4985,0.0,0.0,0.5,0.0
relu_relu_0.6,0.4985,0.0,0.0,0.5,0.0
relu_relu_0.7,0.4985,0.0,0.0,0.5,0.0
relu_relu_0.8,0.4985,0.0,0.0,0.5,0.0
relu_softmax_0.5,0.99875,0.9995007488766849,0.9980059820538385,0.998752238770149,0.9987528061860813
relu_softmax_0.6,0.998,0.9987518721917125,0.997258225324028,0.9980022320200881,0.99800448989773
relu_softmax_0.7,0.4985,0.0,0.0,0.5,0.0
relu_softmax_0.8,0.994125,0.9945123472187578,0.9937686939182453,0.9941260721346492,0.9941403814985662
relu_sigmoid_0.5,0.998625,1.0,0.997258225324028,0.9986291126620139,0.9986272307500312
relu_sigmoid_0.6,0.87525,0.99867637326274,0.7522432701894317,0.8756201305811753,0.8581177139607621
relu_sigmoid_0.7,0.8465,0.998567335243553,0.6949152542372882,0.8469561226051033,0.8195179306290418
relu_sigmoid_0.8,0.9215,0.9979399646851089,0.8452143569292123,0.9217295455659101,0.9152496626180837
relu_tanh_0.5,0.9075,0.9059553349875931,0.9100199401794616,0.9074924174317568,0.9079830887838846
relu_tanh_0.6,0.898875,0.9217803529101922,0.872382851445663,0.8989547155924402,0.8964015879113844
relu_tanh_0.7,0.913875,0.9394340121660937,0.8853439680957128,0.9139608506476558,0.9115873219556012
relu_tanh_0.8,0.897875,0.87333489132975,0.9314556331006979,0.8977739549655946,0.9014594138222168
softmax_relu_0.5,0.4985,0.0,0.0,0.5,0.0
softmax_relu_0.6,0.4985,0.0,0.0,0.5,0.0
softmax_relu_0.7,0.4985,0.0,0.0,0.5,0.0
softmax_relu_0.8,0.4985,0.0,0.0,0.5,0.0
softmax_softmax_0.5,0.5015,0.5015,1.0,0.5,0.6679986679986679
softmax_softmax_0.6,0.5015,0.5015,1.0,0.5,0.6679986679986679
softmax_softmax_0.7,0.4985,0.0,0.0,0.5,0.0
softmax_softmax_0.8,0.5015,0.5015,1.0,0.5,0.6679986679986679
softmax_sigmoid_0.5,0.4985,0.0,0.0,0.5,0.0
softmax_sigmoid_0.6,0.5015,0.5015,1.0,0.5,0.6679986679986679
softmax_sigmoid_0.7,0.5015,0.5015,1.0,0.5,0.6679986679986679
softmax_sigmoid_0.8,0.5015,0.5015,1.0,0.5,0.6679986679986679
softmax_tanh_0.5,0.4985,0.0,0.0,0.5,0.0
softmax_tanh_0.6,0.5015,0.5015,1.0,0.5,0.6679986679986679
softmax_tanh_0.7,0.4985,0.0,0.0,0.5,0.0
softmax_tanh_0.8,0.4985,0.0,0.0,0.5,0.0
sigmoid_relu_0.5,0.4985,0.0,0.0,0.5,0.0
sigmoid_relu_0.6,0.4985,0.0,0.0,0.5,0.0
sigmoid_relu_0.7,0.4985,0.0,0.0,0.5,0.0
sigmoid_relu_0.8,0.4985,0.0,0.0,0.5,0.0
sigmoid_softmax_0.5,0.5015,0.5015,1.0,0.5,0.6679986679986679
sigmoid_softmax_0.6,0.4985,0.0,0.0,0.5,0.0
sigmoid_softmax_0.7,0.4985,0.0,0.0,0.5,0.0
sigmoid_softmax_0.8,0.4985,0.0,0.0,0.5,0.0
sigmoid_sigmoid_0.5,0.4985,0.0,0.0,0.5,0.0
sigmoid_sigmoid_0.6,0.4985,0.0,0.0,0.5,0.0
sigmoid_sigmoid_0.7,0.5015,0.5015,1.0,0.5,0.6679986679986679
sigmoid_sigmoid_0.8,0.5015,0.5015,1.0,0.5,0.6679986679986679
sigmoid_tanh_0.5,0.4985,0.0,0.0,0.5,0.0
sigmoid_tanh_0.6,0.4985,0.0,0.0,0.5,0.0
sigmoid_tanh_0.7,0.4985,0.0,0.0,0.5,0.0
sigmoid_tanh_0.8,0.4985,0.0,0.0,0.5,0.0
tanh_relu_0.5,0.4985,0.0,0.0,0.5,0.0
tanh_relu_0.6,0.4985,0.0,0.0,0.5,0.0
tanh_relu_0.7,0.4985,0.0,0.0,0.5,0.0
tanh_relu_0.8,0.4985,0.0,0.0,0.5,0.0
tanh_softmax_0.5,0.5015,0.5015,1.0,0.5,0.6679986679986679
tanh_softmax_0.6,0.5015,0.5015,1.0,0.5,0.6679986679986679
tanh_softmax_0.7,0.4985,0.0,0.0,0.5,0.0
tanh_softmax_0.8,0.4985,0.0,0.0,0.5,0.0
tanh_sigmoid_0.5,0.4985,0.0,0.0,0.5,0.0
tanh_sigmoid_0.6,0.9005,0.9056508577194753,0.8948155533399801,0.9005171046539419,0.9002006018054163
tanh_sigmoid_0.7,0.9405,0.9016356201726488,0.9892821535393819,0.9403532131789187,0.9434276206322795
tanh_sigmoid_0.8,0.968875,0.9740488788107836,0.9636091724825523,0.9688908450176051,0.9688009021425886
tanh_tanh_0.5,0.4985,0.0,0.0,0.5,0.0
tanh_tanh_0.6,0.4985,0.0,0.0,0.5,0.0
tanh_tanh_0.7,0.4985,0.0,0.0,0.5,0.0
tanh_tanh_0.8,0.959875,0.96521300731031,0.9543868394815553,0.9598915140236262,0.959769394660985
